epoch,train_loss,val_loss,train_mean_ang,train_median_ang,train_p95_ang,train_p99_ang,train_max_ang,train_var_ang,val_mean_ang,val_median_ang,val_p95_ang,val_p99_ang,val_max_ang,val_var_ang
1,0.29454633355140686,0.0583995021879673,40.10399,33.105675,87.86431,134.3396,169.40039,717.60785,17.990656,15.848551,37.322643,50.751408,51.360596,107.884995
2,0.0656949083507061,0.022585530454913776,18.416296,16.88244,39.08239,46.5329,66.417336,104.41002,10.722387,9.500812,23.150314,29.698654,35.048058,45.11919
3,0.037515445351600646,0.011435351024071375,14.051299,13.183801,27.00552,34.519684,37.74584,51.814724,7.3740416,6.49814,18.224648,20.44762,20.45854,22.241573
4,0.03026450589299202,0.010224267840385437,12.521791,11.490307,25.658964,30.908121,35.55901,43.40576,7.2236505,6.3688436,16.017057,18.172424,18.601757,16.601278
5,0.02276492565870285,0.008601480474074682,10.776198,10.048859,22.179794,25.350187,34.891266,34.368958,6.4050183,5.416898,15.318568,18.66057,20.063736,16.599915
6,0.022531614899635316,0.006498159219821294,10.622992,9.732639,22.35748,27.666737,35.687054,36.420692,5.8792553,5.222458,12.514866,14.802325,16.651094,10.338252
7,0.01847198247909546,0.0056879594922065735,9.653389,8.94582,19.5946,23.95864,36.87841,28.738708,5.3160315,4.499681,12.001724,15.830129,16.200325,12.293044
8,0.017602321319282056,0.005249078075091044,9.46857,8.764771,18.445354,23.965742,30.232618,27.093966,5.0580053,4.092567,12.072691,15.495135,16.21398,12.250937
9,0.015896706990897656,0.006045045331120491,8.896277,8.1554785,17.640812,23.005558,35.370983,26.268803,5.6013274,4.783229,12.421737,15.089832,17.259369,12.062603
10,0.013312124498188495,0.005799998839696248,8.072963,7.508487,17.308033,21.692513,31.511932,22.789824,5.3436193,4.3604727,13.166022,16.582825,19.303051,14.150305
11,0.012812754102051259,0.005292278404037158,8.138728,7.906884,15.541588,20.709661,26.297976,18.406448,4.987257,4.3290834,11.302745,14.881029,16.856668,10.431212
12,0.012240248546004296,0.0054155973096688586,7.8908963,7.6553473,15.270098,19.664202,24.781893,18.381815,5.11084,4.6872673,10.878068,13.400179,17.206228,10.666424
13,0.012534085959196091,0.004656178876757622,7.8064404,6.9343495,16.77924,21.844585,27.198225,21.942602,4.6910105,4.0831633,10.604512,12.866941,15.193995,8.830462
14,0.010974970683455466,0.004363424455126126,7.3748055,6.687944,15.584926,18.762611,22.863625,18.047567,4.5496984,3.7794275,10.743716,12.842183,14.809633,8.568472
15,0.011314130499958991,0.004214169457554817,7.6933937,7.122021,15.001013,19.169756,20.852467,15.482986,4.4752607,3.7010298,10.629975,14.612168,15.203856,9.201982
16,0.010542929619550705,0.0037890331198771796,7.122249,6.3512254,15.240654,21.31915,31.844236,18.467096,4.2110267,3.439412,9.670821,13.103121,13.371986,8.128747
17,0.009413314200937748,0.004044792304436366,6.8530393,6.3807316,14.389355,17.568077,19.38339,15.351475,4.1674986,3.5763369,10.2131,12.331632,13.472061,8.420218
18,0.008580472823232412,0.003955419485767682,6.5730834,6.10175,13.759794,17.698397,21.304924,13.371128,4.0122676,3.2691998,10.052079,11.74173,13.506262,7.72685
19,0.007889256961643696,0.004146529982487361,6.460737,5.9945626,12.632215,15.955801,17.3392,10.268115,4.1807017,3.3071866,10.240945,12.603585,13.919747,9.043626
20,0.009005806632339955,0.004155981664856275,6.6478615,6.025321,13.158082,17.014414,29.894503,15.171925,4.2127748,3.2748303,10.994234,12.627784,12.921995,9.982805
