epoch,train_loss,val_loss,train_mean_ang,train_median_ang,train_p95_ang,train_p99_ang,train_max_ang,train_var_ang,val_mean_ang,val_median_ang,val_p95_ang,val_p99_ang,val_max_ang,val_var_ang
1,0.0074229673482477665,0.006251591490581632,6.453475,5.5946445,12.207876,14.341351,15.087657,7.350684,5.987163,6.002046,9.208504,9.636421,9.743401,3.1112187
2,0.006988064385950565,0.005941076902672648,6.2552066,5.512991,11.742044,14.002289,14.785818,7.1902857,5.82532,5.687271,9.08121,9.625833,9.761989,2.8589816
3,0.0068189336785248345,0.0056865334045141935,6.1429048,5.4041395,11.506963,14.1773615,15.203193,7.291039,5.682225,5.4054084,8.965718,9.58276,9.737021,2.781419
4,0.006711885200015136,0.00547284260392189,6.0907865,5.296869,11.599056,13.873986,14.753722,6.8531995,5.57013,5.2832007,8.792652,9.532106,9.71697,2.7132053
5,0.006309666604335819,0.00530947488732636,5.8673387,5.2292957,11.903179,14.0482435,14.781188,7.2217097,5.4708886,5.160157,8.697797,9.4763365,9.670972,2.7436461
6,0.006213110272905656,0.005140200722962618,5.794363,5.078753,11.062496,14.10764,14.802457,6.950586,5.370392,4.9792924,8.578354,9.399477,9.604759,2.723248
7,0.005815417173185519,0.005018157185986638,5.690435,4.8010173,10.891076,13.66247,14.141271,6.6695986,5.294914,4.964989,8.479823,9.35292,9.571195,2.730824
8,0.005716396030038595,0.004843620350584388,5.6263714,4.8527236,10.950052,13.3339,14.260294,6.6258564,5.190055,4.9082785,8.326357,9.264716,9.499308,2.7120473
9,0.005499143419521195,0.004725238308310509,5.45973,4.6900163,10.589517,13.028066,14.105805,6.4879246,5.119512,4.8299417,8.244359,9.2042885,9.444272,2.707378
10,0.005626600900931018,0.004577516345307231,5.423277,4.684458,10.378799,12.869527,13.319701,6.4163213,5.0227532,4.712558,8.112417,9.122252,9.374712,2.708041
11,0.005123461530144725,0.004493093118071556,5.275995,4.5894933,10.804128,13.357746,13.882931,6.7424297,4.967167,4.6609397,8.003834,9.085543,9.355971,2.7232203
12,0.005316312624407666,0.004339725943282247,5.3153343,4.5156617,10.60557,13.576778,14.057873,6.643088,4.8737893,4.529391,7.884112,8.997583,9.275952,2.6893387
13,0.004982408568529146,0.004237500950694084,5.167181,4.4717684,10.391805,13.5896225,13.897669,6.652351,4.8071303,4.4751835,7.7858834,8.950751,9.24197,2.6887305
14,0.0049410381886575904,0.004108807537704706,5.0678854,4.281256,10.448516,12.698323,13.252488,6.232294,4.7108383,4.393647,7.628099,8.852553,9.1586685,2.7182598
15,0.004614406165533832,0.00403199577704072,5.000838,4.253674,10.014004,12.872269,13.210472,5.985811,4.6689577,4.341313,7.5614595,8.833901,9.152014,2.6908736
16,0.004509168677031994,0.003964882111176848,4.8962393,4.13588,10.07629,12.941467,13.420659,6.4185014,4.6140423,4.287884,7.512955,8.824253,9.152079,2.7441552
17,0.004627021761345012,0.0038705121260136366,4.8224096,4.149448,10.514405,12.157764,13.077366,6.5830107,4.545376,4.238545,7.4237013,8.788309,9.129463,2.7616642
18,0.004285602863611919,0.0037489028181880713,4.756281,4.0617747,9.223956,12.309071,13.341785,6.006701,4.465542,4.1645236,7.305892,8.70826,9.058853,2.7414036
19,0.004299342033586332,0.003652819199487567,4.698098,4.017856,9.365275,12.113927,12.73916,5.778919,4.393064,4.115135,7.2246346,8.663198,9.022841,2.764167
20,0.004329297092876264,0.0035792558919638395,4.7313156,4.031626,10.117789,12.251442,13.030055,5.782696,4.343595,4.084469,7.1228757,8.6069765,8.9780035,2.7435672
21,0.0041551197479878154,0.003481880994513631,4.5351005,3.7833064,9.197476,12.370997,13.177001,5.676978,4.2755075,4.014638,7.0518513,8.5738735,8.954381,2.7181537
22,0.003950523212552071,0.003462438005954027,4.48728,3.6970818,8.96635,11.868003,12.430779,5.409281,4.2628074,4.0068746,7.010869,8.5907345,8.9857025,2.728086
23,0.004088094591030053,0.0034055158030241728,4.6067805,3.852851,9.624008,11.899457,13.275708,5.732896,4.2156324,3.9684224,6.924131,8.5678215,8.978746,2.7627695
24,0.003965642569320542,0.0033331833546981215,4.4341865,3.738112,9.333801,11.592529,12.839023,5.455195,4.160762,3.9075565,6.90271,8.553745,8.966506,2.7894497
25,0.003801482230690973,0.00324207020457834,4.390337,3.6923118,9.209569,11.857372,12.140964,5.80836,4.0978136,3.8361444,6.776302,8.484402,8.911428,2.7701175
26,0.0036665738693305422,0.0031632770551368594,4.2205825,3.566833,8.748885,11.805295,12.320944,5.534397,4.0277214,3.7242572,6.7034383,8.457542,8.8960705,2.8036442
27,0.003596250932397587,0.003125075250864029,4.2184196,3.5181398,9.142762,11.348223,11.606003,5.764887,3.9973865,3.6615853,6.6771445,8.478701,8.929091,2.8195682
